Treatment,Plate,hours,Replicate_Cell_Count,Replicate,Diffusion_Coefficient,Nearest_Neighbor_Distance,Cytoplasmic_Size
EGF,LI_I_L_054_01_1,24,2.3955671930541045,1,5.391150766664525,1.0074397705533031,500.0806893850372
EGF,LI_I_L_055_01_1,24,2.4850828165544074,2,5.843054556130891,0.9860938439248341,505.1771909682357
EGF,LI_I_L_056_01_1,24,2.5306756165755853,3,5.198912776048611,1.0012491254225289,494.84
EGF_OSM,LI_I_L_054_02_1,24,2.9294339478039215,1,14.696709590409581,0.9922532012269167,471.65732189973613
EGF_OSM,LI_I_L_055_02_1,24,2.9363731185116544,2,16.387321727019494,1.0497305898628357,486.87756248244875
EGF_OSM,LI_I_L_056_02_1,24,2.791449456449483,3,12.907397626832777,0.9362458323850948,473.5679429429429
EGF_OSM_TGFB,LI_I_L_054_02_1,24,2.2664796199281674,1,16.76450093,0.9974275893571913,605.3713393205779
EGF_OSM_TGFB,LI_I_L_055_02_1,24,2.6636725220759994,2,15.348939250404763,1.1150793245194448,596.6896655619163
EGF_OSM_TGFB,LI_I_L_056_02_1,24,2.5731756120591736,3,14.091339303613045,1.0580660823540957,641.8545983278808
EGF_TGFB,LI_I_L_054_01_1,24,2.4784080223638076,1,8.840056738275573,1.1945116594952288,691.3206077
EGF_TGFB,LI_I_L_055_01_1,24,2.6507014717563853,2,9.057296340097805,1.2776463591570115,706.8822375
EGF_TGFB,LI_I_L_056_01_1,24,2.3616088370311963,3,9.02917761,1.1859737816202638,721.1701098901099
OSM,LI_I_L_054_01_1,24,1.629209527488687,1,3.3016436257851907,0.6443136394223158,350.96189305470193
OSM,LI_I_L_055_01_1,24,1.4192344970667068,2,3.094947203926016,0.6406950600639478,336.82211055276383
OSM,LI_I_L_056_01_1,24,1.6431075566213378,3,4.16832958,0.6082214654233818,331.3014383989994
OSM_TGFB,LI_I_L_054_01_1,24,1.784771553422823,1,5.321097944,0.7434723611312418,401.46157813305825
OSM_TGFB,LI_I_L_055_01_1,24,1.7437212941185547,2,4.171720290331821,0.7781719389284126,393.7526785714286
OSM_TGFB,LI_I_L_056_01_1,24,1.8520357763778816,3,4.578741102363741,0.7238550212440955,421.5242557883131
PBS,LI_I_L_054_01_1,24,1.1935351584216811,1,0.8073028945164862,1.0778911642233817,318.1808118081181
PBS,LI_I_L_055_01_1,24,1.1171979371854357,2,1.7736928437695016,0.7084072516592459,329.25512367491166
PBS,LI_I_L_056_01_1,24,1.1159031372782977,3,1.0848712113305052,0.7698986779225157,316.17729257641923
TGFB,LI_I_L_054_01_1,24,1.3066281984355386,1,1.385713445091493,0.8257027901458089,319.0642129992169
TGFB,LI_I_L_055_01_1,24,1.3449388085365417,2,1.5002381601677708,0.6997086156822079,323.0550185873606
TGFB,LI_I_L_056_01_1,24,1.256155730289498,3,0.9704376248751245,0.6786511331589623,309.2307692307692