Cell_Line,Migration
BT 20,11.35787731
BT474,9.008378927
BT483,8.049803327
BT549,20.21524212
CAMA1,9.870857087
EVSA-T,4.398599858
HCC1143,14.51165123
HCC1395,14.99440043
HCC1569,13.38747623
HCC1806,14.84354444
HCC1937,15.02145572
HCC1954,16.35278731
HCC202,11.57042166
HCC38,17.45376872
HCC70,14.08342036
HS578T,12.92550434
MCF7,10.54086466
MDA-MB-134VI,10.97698246
MDAMB175VII,8.739847595
MDAMB231,14.82339557
MDAMB361,9.150295962
MDA-MB-415,9.363876607
MDA-MB-435S,17.50161811
MDA-MB-436,17.83673287
MDAMB453,7.205459326
MDA-MB-468,11.72684408
600MPE,8.3748177
OCUB-M,11.97826534
SKBR3,0.676793824
SK-BR-7,17.75810476
SUM 102PT,20.88061731
SUM 1315 MO2,15.17442925
SUM149PT,18.20141162
SUM 159 PT,19.16291939
SUM 185 PE,11.79079846
SUM190PT,10.46244573
SUM229PE,15.0996401
SUM 44 PE,10.80930211
SUM52PE,11.7210929
T47D,8.947218915
UACC812,5.211836816
UACC893,8.436281122
ZR751,10.86269508