Cell_Line,Proliferation
BT-20,1.795931902
BT474,1.079428479
BT483,0.079888663
BT549,1.879958604
CAMA1,0.894539819
DU4475,1.250580756
EVSA-T,1.153950844
HCC1143,1.278696328
HCC1395,1.196047481
HCC1419,0.718003903
HCC1500,1.02342083
HCC1569,1.302429963
HCC1806,1.182319002
HCC1937,1.69778703
HCC1954,0.861175022
HCC202,0.041687642
HCC38,1.285674693
HCC70,1.015290584
HS578T,1.502015661
MCF7,1.233061337
MDA-MB-134VI,1.112005137
MDA-MB-157,1.632347322
MDAMB175VII,0.469139751
MDAMB231,1.635613867
MDA-MB-330,0.610852932
MDAMB361,0.980061524
MDA-MB-415,1.247000261
MDA-MB-436,1.813246145
MDAMB453,1.220300149
MDA-MB-468,1.182455655
600MPE,0.586648417
SKBR3,0.81584201
SUM102PT,1.142700669
SUM1315MO2,1.805735002
SUM149PT,1.382926734
SUM159PT,1.40737765
SUM185PE,0.954289666
SUM190PT,1.222545592
SUM229PE,1.702350343
SUM44PE,1.047772243
SUM52PE,0.925741499
T47D,1.094502849
UACC812,0.759522846
UACC893,0.736538038
ZR751,1.25375815
ZR7530,0.75413071